compound_id,target,canonical_dG_kjmol,canonical_source,calc_directory,dir_energy_summary_total,dir_matches_canonical,mdfit_xtc,md_tpr,index_ndx,mmpbsa_mdp,analysis_interval_ps,stride_ps,n_snapshots,provenance_status
A4,alpha_amylase,-172.83,heatmap.py (2026-05-12) -> Tesis Heat.pdf / Fig. heatmap_mmpbsa -> mmpbsa_dataset.csv,MMPBSA/AA-A4,-172.833,YES,deleted post-run (cmd recorded -f mdfit.xtc),present,present,954785fb1805 / a08eb840 (phys-identical; 1 comment char),20000-25000,100,51,MATCHED — preliminary Jul-2025 dt=100 run accepted as final
A4,alpha_glucosidase,-164.08,heatmap.py (2026-05-12) -> Tesis Heat.pdf / Fig. heatmap_mmpbsa -> mmpbsa_dataset.csv,NOT ON DISK,,—,,,,"954785fb1805 (phys-identical, per protocol)",20000-25000,200 (per thesis Methods),~26,THESIS-ONLY — no surviving output directory anywhere
A4,hmgcoa_reductase,-180.69,heatmap.py (2026-05-12) -> Tesis Heat.pdf / Fig. heatmap_mmpbsa -> mmpbsa_dataset.csv,MMPBSA/HMGR-A4 (SUPERSEDED preliminary),-220.687,no,n/a,present,present,954785fb1805 (phys-identical),20000-25000,100,51,SUPERSEDED — system re-run for thesis (dt=200 per Methods); final-run folder not retained
A4,pancreatic_lipase,-66.86,heatmap.py (2026-05-12) -> Tesis Heat.pdf / Fig. heatmap_mmpbsa -> mmpbsa_dataset.csv,MMPBSA/LP-A4,-66.857,YES,deleted post-run (cmd recorded -f mdfit.xtc),present,present,954785fb1805 / a08eb840 (phys-identical; 1 comment char),20000-25000,100,51,MATCHED — preliminary Jul-2025 dt=100 run accepted as final
A5,alpha_amylase,-162.60,heatmap.py (2026-05-12) -> Tesis Heat.pdf / Fig. heatmap_mmpbsa -> mmpbsa_dataset.csv,MMPBSA/AA-A5 (SUPERSEDED preliminary),-242.600,no,n/a,present,present,954785fb1805 (phys-identical),20000-25000,100,51,SUPERSEDED — system re-run for thesis (dt=200 per Methods); final-run folder not retained
A5,alpha_glucosidase,-181.70,heatmap.py (2026-05-12) -> Tesis Heat.pdf / Fig. heatmap_mmpbsa -> mmpbsa_dataset.csv,MMPBSA/AG-A5 (SUPERSEDED preliminary),-231.698,no,n/a,present,present,954785fb1805 (phys-identical),20000-25000,100,51,SUPERSEDED — system re-run for thesis (dt=200 per Methods); final-run folder not retained
A5,hmgcoa_reductase,-140.65,heatmap.py (2026-05-12) -> Tesis Heat.pdf / Fig. heatmap_mmpbsa -> mmpbsa_dataset.csv,MMPBSA/HMGR-A5(Sep2025) (SUPERSEDED preliminary),-198.209,no,n/a,present,present,954785fb1805 (phys-identical),20000-25000,100,51,SUPERSEDED — system re-run for thesis (dt=200 per Methods); final-run folder not retained
A5,pancreatic_lipase,-179.88,heatmap.py (2026-05-12) -> Tesis Heat.pdf / Fig. heatmap_mmpbsa -> mmpbsa_dataset.csv,MMPBSA/LP-A5 (SUPERSEDED preliminary),-219.884,no,n/a,present,present,954785fb1805 (phys-identical),20000-25000,100,51,SUPERSEDED — system re-run for thesis (dt=200 per Methods); final-run folder not retained
A6,alpha_amylase,-160.99,"A6 short-study run (SimForge/manual, xanthone_short 25 ns)",Nuevos_sistemas/AA-A6,-160.99,YES,present,present,present,954785fb1805 (phys-identical),20000-25000,200,26,AVAILABLE — on-disk energy_summary.csv
A6,alpha_glucosidase,-144.15,"A6 short-study run (SimForge/manual, xanthone_short 25 ns)",Nuevos_sistemas/AG-A6,-144.15,YES,present,present,present,954785fb1805 (phys-identical),20000-25000,200,26,AVAILABLE — on-disk energy_summary.csv
A6,hmgcoa_reductase,-266.23,"A6 short-study run (SimForge/manual, xanthone_short 25 ns)",Nuevos_sistemas/HMG-R-25ns-A6,-266.23,YES,present,present,present,954785fb1805 (phys-identical),20000-25000,200,26,AVAILABLE — on-disk energy_summary.csv
A6,pancreatic_lipase,-304.85,"A6 short-study run (SimForge/manual, xanthone_short 25 ns)",Nuevos_sistemas/LP-A6,-304.85,YES,present,present,present,954785fb1805 (phys-identical),20000-25000,200,26,AVAILABLE — on-disk energy_summary.csv
